origin,destination,weight
EG,SA,1311
ZA,US,689
EG,CN,536
ZA,GB,524
EG,US,408
ZA,CN,328
ZA,CA,310
ZA,IN,309
EG,IN,305
ZA,AU,303
NG,US,280
ZA,DE,273
EG,GB,255
ET,IN,245
ZA,FR,240
DZ,SA,229
ZA,IT,225
NG,GB,212
EG,DE,210
ZA,ES,207
ZA,NL,195
EG,JO,188
ET,CN,188
EG,AE,174
MA,FR,173
ET,US,168
NG,ZA,164
ZA,NG,164
ZA,CH,158
KE,US,155
TN,SA,155
EG,PK,153
ZA,BR,153
NG,CN,147
EG,IQ,145
EG,IT,143
ZA,SE,143
MA,SA,141
KE,GB,137
EG,AU,132
ET,SA,129
GH,US,129
NG,SA,128
ZA,BE,128
NG,IN,127
ZA,SA,126
EG,TR,124
ZA,JP,120
EG,KR,117
EG,JP,114
MA,US,114
EG,CA,111
EG,FR,107
ZA,DK,105
ET,KR,104
ZA,PK,102
UG,US,101
NG,CA,100
EG,ES,99
NG,MY,97
ZA,MY,97
GH,CN,96
ZA,KR,96
EG,MY,94
RW,CN,94
DZ,IN,92
TN,FR,92
EG,RU,89
GH,GB,89
MA,GB,88
NG,AU,88
ZA,NO,87
DZ,FR,85
ZA,CL,85
ZA,PL,85
ZA,MX,82
ET,AU,80
UG,GB,80
EG,PL,79
MA,CN,79
ZA,PT,79
UG,IN,78
KE,ZA,77
ZA,KE,77
EG,IR,76
ZA,AE,76
DZ,TR,75
NG,DE,75
SS,GB,75
DZ,EG,74
EG,DZ,74
ET,GB,74
KE,CA,74
MA,IT,74
MA,IN,73
TZ,US,73
ZA,TR,73
KE,AU,72
EG,TW,71
MA,ES,71
TN,CN,70
EG,NG,69
EG,SE,69
NG,EG,69
ZA,AT,69
DZ,US,68
DZ,CN,67
DZ,IT,67
ZA,FI,67
EG,HU,65
KE,DE,65
GH,ZA,63
ZA,GH,63
ZA,NZ,63
NG,IT,62
NG,UG,62
UG,NG,62
EG,BD,61
EG,BR,61
MA,CA,61
MA,DE,61
EG,ZA,60
NG,PK,60
TN,US,60
ZA,AR,60
ZA,EG,60
ET,DE,59
ET,ZA,59
ZA,ET,59
EG,KW,58
GH,NG,58
KE,CN,58
NG,GH,58
ZA,CZ,57
ZA,IR,57
EG,ID,56
NG,BR,56
NG,FR,56
ZA,IL,56
EG,OM,54
KE,IN,54
MA,PT,54
NG,NL,54
TN,ES,54
TZ,GB,54
EG,NL,53
KE,CH,53
NG,TR,53
ZA,RU,53
EG,CH,52
ET,PK,52
KE,FR,52
RW,US,51
ZA,SG,51
DZ,GB,50
EG,PT,50
ET,JP,50
GH,CA,50
NG,KR,50
TN,IT,50
UG,ZA,50
ZA,UG,50
KE,NL,49
NG,JP,49
ZA,GR,49
EG,QA,48
GH,AU,48
NG,IQ,48
NG,SE,48
ZA,HK,48
BW,CN,46
EG,GR,46
GH,DE,46
GH,IN,46
TN,GB,46
TZ,CN,46
ZA,TH,46
DZ,AE,45
DZ,TN,45
EG,ET,45
ET,EG,45
NG,CH,45
NG,ES,45
TN,DZ,45
TN,IN,45
ZA,TW,45
CM,US,44
EG,HK,44
SD,SA,43
DZ,IQ,42
DZ,JO,42
DZ,PK,42
EG,YE,42
MA,TR,42
SD,US,42
TN,DE,42
EG,FI,41
MW,US,41
SD,KR,41
ZA,ID,41
CM,GB,40
EG,CZ,40
GH,IT,40
MA,ZA,40
ZA,CO,40
ZA,IE,40
ZA,MA,40
EG,MA,39
KE,NG,39
KE,UG,39
MA,AU,39
MA,EG,39
MA,PK,39
NG,AE,39
NG,KE,39
SS,US,39
UG,KE,39
DZ,MY,38
EG,TN,38
ET,IT,38
KE,SE,38
MA,KR,38
TN,EG,38
UG,CA,38
ZA,RO,38
ET,CA,37
MA,AE,37
NG,IR,37
TZ,ZA,37
UG,DE,37
ZA,TZ,37
DZ,ES,36
EG,AT,36
EG,BE,36
ET,FR,36
