name,inst_id
AGH University of Krakow,https://openalex.org/I686019
AIIMS Rishikesh,https://openalex.org/I4387152206
Aalborg University,https://openalex.org/I891191580
Aalto University,https://openalex.org/I9927081
Aarhus University,https://openalex.org/I204337017
Abdelmalek Essaâdi University,https://openalex.org/I240042149
Abdul Wali Khan University Mardan,https://openalex.org/I181063083
Abdullah Gül University,https://openalex.org/I95293974
Aberystwyth University,https://openalex.org/I16038530
Abu Dhabi University,https://openalex.org/I117222138
Acharya Nagarjuna University,https://openalex.org/I177001074
Acıbadem University,https://openalex.org/I322491407
"Adam Mickiewicz University, Poznań",https://openalex.org/I59411706
Addis Ababa University,https://openalex.org/I4537092
Adelaide University,https://openalex.org/I5681781
Adelphi University,https://openalex.org/I71965598
Adolfo Ibáñez University,https://openalex.org/I21067949
Adıyaman University,https://openalex.org/I198587356
Afe Babalola University,https://openalex.org/I29787537
Afyon Kocatepe University,https://openalex.org/I52407163
Afyonkarahisar Health Sciences University,https://openalex.org/I4387154071
Ahmadu Bello University,https://openalex.org/I12789410
Ahvaz Jundishapur University of Medical Sciences,https://openalex.org/I119939603
Aichi Medical University,https://openalex.org/I16528096
Ain Shams University,https://openalex.org/I107720978
Air University,https://openalex.org/I9916479
Aix-Marseille University,https://openalex.org/I21491767
Ajman University,https://openalex.org/I182000528
Ajou University,https://openalex.org/I57664883
Akdeniz University,https://openalex.org/I197907453
Akita University,https://openalex.org/I203765153
Aksaray University,https://openalex.org/I121596126
Al Ain University,https://openalex.org/I161913731
Al al-Bayt University,https://openalex.org/I31079310
Al-Ahliyya Amman University,https://openalex.org/I104941359
Al-Azhar University,https://openalex.org/I184834183
Al-Baha University,https://openalex.org/I52207611
Al-Balqa Applied University,https://openalex.org/I33926330
Al-Farabi Kazakh National University,https://openalex.org/I185571130
Al-Furat Al-Awsat Technical University,https://openalex.org/I4210155527
Al-Hussein Bin Talal University,https://openalex.org/I100086675
Al-Muthanna University,https://openalex.org/I501048437
Al-Nahrain University,https://openalex.org/I56409017
Al-Qasim Green University,https://openalex.org/I4405256416
Al-Quds University,https://openalex.org/I21215505
Al-Zaytoonah University of Jordan,https://openalex.org/I145019703
Alagappa University,https://openalex.org/I131155284
Alanya Alaaddin Keykubat University,https://openalex.org/I4387154021
Alberto Hurtado University,https://openalex.org/I3129804457
Alborz University of Medical Sciences,https://openalex.org/I4387153077
Alexandria University,https://openalex.org/I84524832
Alexandru Ioan Cuza University,https://openalex.org/I138164181
Alfaisal University,https://openalex.org/I134359838
Aligarh Muslim University,https://openalex.org/I171210897
Allameh Tabataba'i University,https://openalex.org/I200432940
Altai State University,https://openalex.org/I163137577
Altınbaş University,https://openalex.org/I42317466
Alzahra University,https://openalex.org/I67080706
Amedeo Avogadro University of Eastern Piedmont,https://openalex.org/I123338534
American International University – Bangladesh,https://openalex.org/I103434671
American University,https://openalex.org/I98635879
American University in Cairo,https://openalex.org/I80693520
American University of Beirut,https://openalex.org/I98635879
American University of Sharjah,https://openalex.org/I199440890
American University of the Middle East,https://openalex.org/I2803079837
Amirkabir University of Technology,https://openalex.org/I158248296
"Amity University Rajasthan, Jaipur",https://openalex.org/I4405263076
"Amity University, Gurugram",https://openalex.org/I4405262955
Amity University,https://openalex.org/I191972202
Amrita Vishwa Vidyapeetham,https://openalex.org/I81556334
An-Najah National University,https://openalex.org/I17533244
Anadolu University,https://openalex.org/I133743585
Andhra University,https://openalex.org/I100887729
Anglia Ruskin University,https://openalex.org/I51216347
Anhui University,https://openalex.org/I143868143
Ankara University,https://openalex.org/I149218525
Ankara Yildirim Beyazit University,https://openalex.org/I4210150808
Anna University,https://openalex.org/I33585257
Annamalai University,https://openalex.org/I197081775
Anáhuac University,https://openalex.org/I4210113355
Aoyama Gakuin University,https://openalex.org/I131231118
Applied Science Private University,https://openalex.org/I146367977
"Arab Academy for Science, Technology and Maritime Transport",https://openalex.org/I59272784
Arabian Gulf University,https://openalex.org/I53218197
Arak University,https://openalex.org/I35510649
Arak University of Medical Sciences,https://openalex.org/I133903919
Ardabil University of Medical Sciences,https://openalex.org/I33103891
