name,inst_id,country_code,type
Abia State University,I100352790,NG,education
Abiola Ajimobi Technical University Ibadan,I4210161785,NG,education
ABM University College,I4210130625,BW,education
Abrar Research and Training Centre (ARACHTI),I4405266575,SO,education
Abrar University,I4210140896,SO,education
Abubakar Tafawa Balewa University,I169864488,NG,education
Academic City College University,I4210134055,GH,education
Academic University,I1328943360,RU,education
Académie des Beaux-Arts,I4210131124,BE,education
Academy of Arts,I1322597698,NL,government
Academy of Engineering Sciences,I2800664390,SE,education
Accra Institute of Technology,I3129459759,GH,education
Accra Technical University,I24835296,GH,education
Achievers University,I3130155654,NG,education
Adama Hospital Medical College,I4405261048,ET,education
Adama Science and Technology University,I865572129,ET,education
Adamawa State University,I106980716,NG,education
Addis Ababa Science and Technology University,I4210129636,ET,education
Addis Ababa University,I4537092,ET,education
Adekunle Ajasin University,I28653996,NG,education
Adeleke University,I2799835767,NG,education
Adigrat University,I3132429795,ET,education
Admas University,I4210121139,SO,education
Admiralty University of Nigeria,I4405255364,NG,education
Adventist University Cosendai,I4210155196,CM,education
Adventist University of Africa,I2799887408,KE,education
Adventist University of Central Africa,I3132105718,RW,education
Adwa-Pan African University,I4210155251,ET,education
Afe Babalola University,I29787537,NG,education
Africa Health Sciences University,I2802393258,ZA,education
Africa International University,I2800483928,KE,education
Africa Nazarene University,I4210165634,KE,education
Africa University,I165390105,ZA,education
African Bible University,I4210110684,UG,education
African Institute for Mathematical Sciences,I148561064,ZA,education
African Institute of Science and Technology,I2799873615,NG,education
African Leadership Institute,I4210121797,ZA,education
African Leadership University,I4405266581,RW,education
African Methodist Episcopal University,I4210113241,LR,education
African Regional Institute for Geospatial Information Science and Technology,I4405259820,NG,education
African Rural University,I3132520537,UG,education
African University College of Communications,I2803027104,GH,education
African Virtual University,I2801972722,KE,education
Afro-American University of Central Africa,I4405258014,GQ,education
Afya na Haki Institute,I4403928187,UG,education
Aga Khan University,I118185606,PK,education
Aga Khan University Nairobi,I4210108070,KE,education
Agenla Academy,I4405260173,CM,education
Agitel-Formation,I4210098501,CI,education
Agostinho Neto University,I3131883934,AO,education
Ahfad University for Women,I53279716,SD,education
Ahmadu Bello University,I12789410,NG,education
Ahmed Draia University,I22223346,DZ,education
Ahmed Zabana University - Relizane,I4210153799,DZ,education
Ahram Canadian University,I61869032,EG,education
AIMS Research and Innovation Centre,I4405261291,RW,education
Ain Shams University,I107720978,EG,education
Air Force Institute of Technology Kaduna,I4405252852,NG,education
Ajayi Crowther University,I37490319,NG,education
Akademia,I99542240,PL,government
Akademie Reformatoriese Opleiding en Studies,I4210137511,ZA,education
Akhbar El Yom Academy,I4210127704,EG,education
Akobo Heritage and Memorial University,I4210167020,SS,education
"Akrofi-Christaller Institute of Theology, Mission and Culture",I4210123141,GH,education
Aksum University,I78545622,ET,education
Akwa Ibom State College Of Education,I4405264861,NG,education
Akwa Ibom State University,I127206278,NG,education
Al Akhawayn University,I47844,MA,education
Al Fashir University,I3133329336,SD,education
Al Hayah University in Cairo,I4405259928,EG,education
Al Hayat Medical University,I4405266414,SO,education
Al Salam University,I4405262992,EG,education
Al Zawiya University,I3130915990,LY,education
Al-Ahram Center for Political and Strategic Studies,I3129681422,EG,education
Al-Arab Medical University,I149840157,LY,education
Al-Azhar University,I184834183,EG,education
Al-Hikmah University,I3131979588,NG,education
Al-Neelain University,I224517680,SD,education
Al-Qalam University Katsina,I4210147342,NG,education
AlAlamein International University,I4210090507,EG,education
Alan J Flisher Centre for Public Mental Health,I4405266407,ZA,education
Alasmarya Islamic University,I3132692309,LY,education
Alexandria Higher Institute of Engineering and Technology,I3129754710,EG,education
Alexandria National University,I4405259617,EG,education
Alexandria University,I84524832,EG,education
AlJafara University,I4405264345,LY,education
All Nations University,I2800493640,GH,education
All Saints University Lango,I4210159855,UG,education
AlMughtaribeen University,I3129211915,SD,education
Alupe University,I4405256813,KE,education
"Alvan Ikoku Federal University of Education, Owerri",I4405254148,NG,education
Alzaiem Alazhari University,I181933706,SD,education
Ambo University,I4210114632,ET,education
Ambrose Alli University,I54231130,NG,education
American International School in Egypt,I3130258093,EG,education
American International University West Africa,I4210135199,GM,education
American University in Cairo,I80693520,EG,education
American University of Nigeria,I65734018,NG,education
Amoud University,I3129592236,SO,education
Amref International University,I4405263046,KE,education
Anglican University College of Technology,I4405261401,GH,education
Ankole Western University,I4210091427,UG,education
"Arab Academy for Management, Banking and Financial Sciences",I4210132729,EG,education
"Arab Academy for Science, Technology, and Maritime Transport",I59272784,EG,education
Arab Open University,I124391630,OM,education
Arab Studies and Research Institute,I4210129615,EG,education
Arba Minch University,I42869670,ET,education
Arbaminch College of Education,I4405265965,ET,education
Ardhi University,I140534913,TZ,education
Arish University,I4210122761,EG,education
Armed Forces College of Medicine,I4210127717,EG,education
Arrupe Jesuit University,I4210101443,ZW,education
Arthur Jarvis University,I4405263049,NG,education
Ashesi University,I4210117796,GH,education
Asossa University,I4210122757,ET,education
Assiut University,I91041137,EG,education
Assiut University Hospitals,I4210123884,EG,education
Aswan University,I86310350,EG,education
Atiba University,I4405253822,NG,education
Atlantic African Oriental Multicultural University International,I4405260557,CF,education
Auchi Polytechnic,I4210154431,NG,education
"Augustine University, Ilara",I4405259080,NG,education
Azzaytuna University,I4405258300,LY,education
Ba Isago University,I4405261080,BW,education
Babcock University,I30887324,NG,education
Badji Mokhtar-Annaba University,I108754898,DZ,education
Badr University in Cairo,I4210151980,EG,education
Bahir Dar University,I57092466,ET,education
Bamenda University of Science and Technology,I4210087472,CM,education
"Bamidele Olumilua University of Education, Science and Technology",I4405256297,NG,education
Bani-Waleed University,I4405253782,LY,education
"Baptist College of Theology, Obinze",I4405257947,NG,education
Baptist Theological College of Southern Africa,I2801387305,ZA,education
Bayan University,I3129370870,SD,education
Bayelsa Medical University,I4405257310,NG,education
Bayero University Kano,I919958821,NG,education
Baze University,I3132818693,NG,education
Bel Campus Technological University,I4210153062,CD,education
Bells University of Technology,I136632592,NG,education
Benadir University,I3129284699,SO,education
Benghazi Military University Academy,I4210150211,LY,education
Benha National University,I4405258936,EG,education
Benha University,I207547235,EG,education
Beni American University,I4210111684,NG,education
Beni-Suef University,I113643904,EG,education
Benson Idahosa University,I171217772,NG,education
Benue State University,I187152970,NG,education
Biaka University Institute of Buea,I4405260339,CM,education
Bindura University of Science Education,I177651648,ZW,education
Bingham University,I201292520,NG,education
Binyaminu Usman Polytechnic,I4405260568,NG,education
Bishop Stuart University,I3131279189,UG,education
Blue Nile University,I4210108437,SD,education
BlueCrest University College,I4210127722,GH,education
Boitekanelo College,I4405261293,BW,education
Bomet University College,I4387153060,KE,education
Borana University,I4405264926,ET,education
Botho University,I309707301,BW,education
Botswana Accountancy College,I2800581689,BW,education
Botswana International University of Science and Technology,I216286881,BW,education
Botswana Open University,I4210111441,BW,education
Botswana University of Agriculture and Natural Resources,I4399598453,BW,education
Bowen University,I200433483,NG,education
Bridge University,I4210096386,SS,education
Brighton International University,I4210166320,SN,education
British University in Egypt,I154023281,EG,education
Bugema University,I3132458453,UG,education
Bujumbura Christian University,I4405259374,BI,education
Bukalasa Agricultural College,I4405266298,UG,education
Bule Hora University,I4210124021,ET,education
Burao University,I4210087577,SO,education
Busitema University,I287756978,UG,education
Busoga University,I4210142055,UG,education
Cadi Ayyad University,I119856527,MA,education
Cairo Higher Institute,I4210140988,EG,education
Cairo University,I145487455,EG,education
Caleb University,I280533721,NG,education
Cameroon Field Epidemiology Training Programme,I4405262979,CM,education
Canadian International College,I4210122785,EG,education
Cape Coast Technical University,I206509152,GH,education
Cape Peninsula University of Technology,I159253421,ZA,education
Cape Town Baptist Seminary,I4405265890,ZA,education
Cape Town Creative Academy,I4405255440,ZA,education
"Captain Elechi Amadi Polytechnic, Rumuola",I4405258506,NG,education
Caritas University,I3131829890,NG,education
Carnegie Mellon University Africa,I4210130200,RW,education
Catholic University College of Ghana,I192535658,GH,education
Catholic University Institute of Buea,I4210154964,CM,education
Catholic University of Angola,I4210155522,AO,education
Catholic University of Cameroon,I251854046,CM,education
Catholic University of Central Africa,I4210141093,CM,education
Catholic University of Eastern Africa,I82889322,KE,education
Catholic University of Health and Allied Sciences,I273065767,TZ,education
Catholic University of Kabgayi,I4210144434,RW,education
Catholic University of Madagascar,I4210103367,MG,education
Catholic University of Mozambique,I319786031,MZ,education
Catholic University of South Sudan,I4210156635,SS,education
Catholic University of West Africa,I4210152980,BJ,education
Catholic University of Zimbabwe,I4210149345,ZW,education
Cavendish University Uganda,I3130796309,UG,education
Cavendish University Zambia,I2799418772,ZM,education
