year,rank,university_name,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Faculty Ratio,International Research
2013,1,Massachusetts Institute of Technology (MIT),100,99.7,100,100,,96.3,97.6,
2013,2,Harvard University,100,100,99.3,100,,85.3,94.1,
2013,3,University of Cambridge,100,95.8,99.6,100,,96,95.5,
2013,4,UCL,99.9,95.6,98.9,98.7,,100,96.5,
2013,5,Imperial College London,99.9,92.5,99.8,100,,99.9,99.9,
2013,6,University of Oxford,100,93.1,100,100,,96.7,97.7,
2013,7,Stanford University,100,100,94.4,100,,76,75.6,
2013,8,Yale University,100,88.8,100,100,,72.7,94.4,
2013,9,University of Chicago,99.9,97.8,96.2,94.3,,74.9,78.8,
2013,=10,California Institute of Technology (Caltech),99.6,100,100,69.2,,87.7,92.2,
2013,=10,Princeton University,100,98.8,96.3,95.1,,68.8,76.3,
2013,12,ETH Zurich,99.9,94.9,76.5,97.9,,98.4,100,
2013,13,University of Pennsylvania,98.4,92.7,99.9,93.8,,69.8,55,
2013,14,Columbia University,100,96.8,95.9,100,,78.8,16.2,
2013,15,Cornell University,99.8,99.2,75.1,97.8,,64.6,87.8,
2013,16,Johns Hopkins University,96,97.8,100,64.1,,69.7,78.9,
2013,=17,The University of Edinburgh,99.7,84.5,75.1,98.3,,97.3,89.8,
2013,=17,University of Toronto,99.9,82.2,78.8,95.9,,86.8,97.7,
2013,=19,EPFL – École polytechnique fédérale de Lausanne,87.9,88.2,94.5,88.3,,100,100,
2013,=19,King's College London,94.6,79.3,89.9,93.7,,96.6,93.9,
2013,21,McGill University,99.1,72.2,90.2,95.7,,90.2,81.1,
2013,22,University of Michigan-Ann Arbor,99.8,88.7,92.7,95,,45.9,44,
2013,23,Duke University,96.2,98.4,99.9,85.8,,44.4,16.4,
2013,24,National University of Singapore (NUS),100,57.3,89.1,99.9,,96.6,100,
2013,25,"University of California, Berkeley (UCB)",100,98.9,52.1,100,,74.7,93.9,
2013,26,The University of Hong Kong,99.4,51.7,94.7,93.1,,98.7,100,
2013,27,Australian National University (ANU),99.7,63.2,83.4,92.4,,94.1,99.9,
2013,28,"Ecole normale supérieure, Paris",89.7,94.3,97.1,77.4,,52.1,58.7,
2013,29,Northwestern University,92.9,99.5,87.2,90.7,,55.4,12,
2013,30,University of Bristol,92.2,78.1,78.6,98.3,,81,83.7,
2013,31,The University of Melbourne,99.8,84,50.1,100,,96.6,81.5,
2013,32,The University of Tokyo,100,76.3,91.4,99.3,,27.3,11.1,
2013,33,The University of Manchester,99.2,64.7,66.2,100,,96,84.5,
2013,34,The Hong Kong University of Science and Technology,93.3,52.6,86.5,90.6,,98.6,100,
2013,=35,Kyoto University,99.9,68.4,94.8,92.1,,22.9,16.5,
2013,=35,Seoul National University,98.7,60.9,87,93.6,,60.4,47.2,
2013,37,University of Wisconsin-Madison,97.4,68.7,91.8,69.7,,36,56.9,
2013,38,The University of Sydney,99.5,68.4,50.1,98,,87.2,99.7,
2013,40,"University of California, Los Angeles (UCLA)",100,100,47.7,98,,43.6,2.3,
2013,=41,Ecole Polytechnique,74.1,66.2,99.9,97.5,,91.4,72,
2013,=41,"Nanyang Technological University, Singapore (NTU Singapore)",92.4,33,90.1,94.1,,97.1,100,
2013,43,The University of Queensland,95.7,69.3,49.8,91.9,,86.8,98.8,
2013,44,New York University (NYU),98.4,43.8,94.9,92,,60,23.5,
2013,45,University of Copenhagen,89,57.4,99.7,78.9,,37.5,67.5,
2013,46,Peking University,99.8,46.5,79,98.8,,32.1,64.5,
2013,47,Brown University,81.1,97.6,85.2,65.5,,55.8,23.5,
2013,48,Tsinghua University,99.3,38.3,88.6,99.1,,38.9,48.7,
2013,49,University of British Columbia,99.6,83.4,35.4,86.5,,53.5,83.4,
2013,50,Universität Heidelberg,96.4,55.6,86,64.1,,61.6,52.7,
2013,51,University of Glasgow,86.4,85.9,52.7,80.1,,84.7,81.2,
2013,52,The University of New South Wales (UNSW Sydney),96.5,61.2,40.2,98.6,,95.8,100,
2013,53,Technical University of Munich,90.7,39.1,95.5,96.1,,57.7,51,
2013,54,University of North Carolina at Chapel Hill,83.9,92.4,78.8,56.3,,22.1,43.6,
2013,55,Osaka University,91.7,57.7,93.2,80.5,,19.9,14.9,
2013,56,University of Illinois Urbana-Champaign,97.9,91.3,23.6,77.5,,62.6,67.6,
2013,57,Carnegie Mellon University,85.8,93.4,46.4,82.6,,98,18.6,
2013,58,University of Amsterdam,93.8,85.7,41.1,83.9,,30.6,67,
2013,59,University of Washington,95.2,99.5,54.7,54.6,,22.3,8.7,
