"inst_id","name","club","metric"
"I100116408","University of Port Harcourt","club1","n_publication"
"I100236772","St. Lawrence University","club1","n_publication"
"I100352790","Abia State University","club1","n_publication"
"I101993903","Namibia University of Science and Technology","club1","n_publication"
"I10627620","Kogi State University","club1","n_publication"
"I106980716","Adamawa State University","club1","n_publication"
"I107720978","Ain Shams University","club1","n_publication"
"I108714496","Tunis University","club1","n_publication"
"I108754898","Badji Mokhtar-Annaba University","club1","n_publication"
"I109121592","Zimbabwe Open University","club1","n_publication"
"I111908491","Women's University in Africa","club1","n_publication"
"I112713213","Université Gaston Berger","club1","n_publication"
"I113643904","Beni-Suef University","club1","n_publication"
"I114499477","University of Fort Hare","club1","n_publication"
"I114564095","University of Ouargla","club1","n_publication"
"I114794399","Suez Canal University","club1","n_publication"
"I116082035","Kenya Medical Training College","club1","n_publication"
"I116970179","University of Jijel","club1","n_publication"
"I117467261","Great Zimbabwe University","club1","n_publication"
"I117723502","University of N'Djamena","club1","n_publication"
"I118185606","Aga Khan University","club1","n_publication"
"I11892038","University of Nigeria","club1","n_publication"
"I119444248","Nkumba University","club1","n_publication"
"I119856527","Cadi Ayyad University","club1","n_publication"
"I12003341","National University of Science and Technology","club1","n_publication"
"I121645547","Chinhoyi University of Technology","club1","n_publication"
"I121708413","Chukwuemeka Odumegwu Ojukwu University","club1","n_publication"
"I123698207","Fountain University","club1","n_publication"
"I124391630","Arab Open University","club1","n_publication"
"I125485651","University Frères Mentouri Constantine 1","club1","n_publication"
"I12553626","University of Zululand","club1","n_publication"
"I126477371","Mohammed V University","club1","n_publication"
"I126541806","Lagos State University","club1","n_publication"
"I127206278","Akwa Ibom State University","club1","n_publication"
"I127336678","Ecole Mohammadia d'Ingénieurs","club1","n_publication"
"I12789410","Ahmadu Bello University","club1","n_publication"
"I1282700336","Debre Berhan University","club1","n_publication"
"I1283442259","Madda Walabu University","club1","n_publication"
"I12859529","University of Nairobi","club1","n_publication"
"I1288970718","Mohamed-Cherif Messaadia University","club1","n_publication"
"I129615261","Vaal University of Technology","club1","n_publication"
"I129628643","Université Joseph Ki-Zerbo","club1","n_publication"
"I130359222","Université Abdou Moumouni","club1","n_publication"
"I13144388","Ekiti State University","club1","n_publication"
"I131561025","Enugu State University of Science and Technology","club1","n_publication"
"I131736796","University of Health Sciences","club1","n_publication"
"I1317634868","Institute for Educational Planning and Administration","club1","n_publication"
"I1322597698","Academy of Arts","club1","n_publication"
"I1331070479","Université de Yaoundé I","club1","n_publication"
"I133388076","Gulu University","club1","n_publication"
"I133771110","University of Cape Coast","club1","n_publication"
"I134231150","University of Lubumbashi","club1","n_publication"
"I134542131","University of Ilorin","club1","n_publication"
"I1355163","Sinai University","club1","n_publication"
"I136632592","Bells University of Technology","club1","n_publication"
"I137407579","Université Oran 1 Ahmed Ben Bella","club1","n_publication"
"I137616099","Tshwane University of Technology","club1","n_publication"
"I137724175","University of Antananarivo","club1","n_publication"
"I138690464","University of Ghana","club1","n_publication"
"I139264467","National University","club1","n_publication"
"I140287389","Technical University of Kenya","club1","n_publication"
"I140534913","Ardhi University","club1","n_publication"
"I141930137","Mbarara University of Science and Technology","club1","n_publication"
"I142215875","Midrand Graduate Institute","club1","n_publication"
"I142899784","University of Sfax","club1","n_publication"
"I143936627","University of Bechar","club1","n_publication"
"I1443707","Jimma University","club1","n_publication"
"I144693123","University of Buea","club1","n_publication"
"I145354842","University of Medical Sciences and Technology","club1","n_publication"
"I145487455","Cairo University","club1","n_publication"
"I145876445","University of Education, Winneba","club1","n_publication"
"I146977602","Pharos University in Alexandria","club1","n_publication"
"I147168166","Moi University","club1","n_publication"
"I147765412","Niger Delta University","club1","n_publication"
"I148561064","African Institute for Mathematical Sciences","club1","n_publication"
"I149743910","University of Liberia","club1","n_publication"
"I149840157","Al-Arab Medical University","club1","n_publication"
"I150406212","University of Khartoum","club1","n_publication"
"I151654608","Madonna University","club1","n_publication"
"I152195623","Misurata University","club1","n_publication"
"I153265617","Sebha University","club1","n_publication"
"I153455119","University of Zimbabwe","club1","n_publication"
"I153487414","Haramaya University","club1","n_publication"
"I153975220","Kenyatta University","club1","n_publication"
"I154023281","British University in Egypt","club1","n_publication"
"I154632036","Misr University for Science and Technology","club1","n_publication"
"I154840374","Muhimbili University of Health and Allied Sciences","club1","n_publication"
"I154840374","Muhimbili University of Health and Allied Sciences","club1","n_publication"
"I154840374","University of Health and Allied Sciences","club1","n_publication"
"I154840374","University of Health and Allied Sciences","club1","n_publication"
"I157169809","University of Sciences and Technology Houari Boumediene","club1","n_publication"
"I157273133","University of Botswana","club1","n_publication"
"I157338126","Pedagogical University","club1","n_publication"
"I157591606","University of Malawi","club1","n_publication"
"I157614274","University of Cape Town","club1","n_publication"
"I15846685","Mzumbe University","club1","n_publication"
"I158878888","Nile Valley University","club1","n_publication"
"I158990150","St. Augustine University of Tanzania","club1","n_publication"
"I159247623","Mansoura University","club1","n_publication"
"I159253421","Cape Peninsula University of Technology","club1","n_publication"
"I160419504","Higher Technological Institute","club1","n_publication"
"I160825796","Mangosuthu University of Technology","club1","n_publication"
"I161372803","Strathmore University","club1","n_publication"
"I161374704","University of Jos","club1","n_publication"
"I162254961","National University of Lesotho","club1","n_publication"
"I162489102","University of Batna 1","club1","n_publication"
"I163423212","University of Douala","club1","n_publication"
"I16443873","Federal University of Technology Owerri","club1","n_publication"
"I165390105","Africa University","club1","n_publication"
"I165390105","Africa University","club1","n_publication"
"I165390105","Africa University","club1","n_publication"
"I165390105","Hope Africa University","club1","n_publication"
"I165390105","Hope Africa University","club1","n_publication"
"I165390105","Hope Africa University","club1","n_publication"
"I165390105","University of South Africa","club1","n_publication"
"I165390105","University of South Africa","club1","n_publication"
"I165390105","University of South Africa","club1","n_publication"
"I166928557","University of Monastir","club1","n_publication"
"I166934088","Imo State University","club1","n_publication"
"I16904388","Eduardo Mondlane University","club1","n_publication"
"I16969244","University of Eswatini","club1","n_publication"
"I169744251","Damanhour University","club1","n_publication"
"I169864488","Abubakar Tafawa Balewa University","club1","n_publication"
"I17024267","Université Nangui Abrogoua","club1","n_publication"
"I171217772","Benson Idahosa University","club1","n_publication"
"I172614708","Crescent University","club1","n_publication"
"I173434221","Harare Institute of Technology","club1","n_publication"
"I176150703","University of the Gambia","club1","n_publication"
"I177181097","Durban University of Technology","club1","n_publication"
"I177436651","Mahatma Gandhi University","club1","n_publication"
"I177651648","Bindura University of Science Education","club1","n_publication"
"I177657909","Université de Mostaganem","club1","n_publication"
"I178331978","Université de Dschang","club1","n_publication"
"I179097149","University of Carthage","club1","n_publication"
"I18020613","Mzuzu University","club1","n_publication"
"I18045400","Federal University of Agriculture","club1","n_publication"
"I180664298","Federal University of Technology","club1","n_publication"
"I181631907","University of Ibadan","club1","n_publication"
"I181933706","Alzaiem Alazhari University","club1","n_publication"
"I182078086","University of Dar es Salaam","club1","n_publication"
"I182377803","University of Sierra Leone","club1","n_publication"
