name,year,openalex_id,country_code,type,n_publication,ace_1,ace_2,cum_publications,deltas_1,ace1_group,ace2_group,any_ace,gdp_cap,gdp_growth,internet,electricity,tertiary_enrol,education_exp,rd_exp,researchers
ABM University College,2006,I4210130625,BWA,education,0,0,0,0,0,0,0,0,5865.00026521361,8.36387109282306,4.28993297515968,39.7,10.0698099136353,NA,NA,NA
ABM University College,2007,I4210130625,BWA,education,0,0,0,0,0,0,0,0,6085.6354476126,5.79255577727118,5.28,41.9,10.2232799530029,9.04666996002197,NA,NA
ABM University College,2008,I4210130625,BWA,education,1,0,0,1,0,0,0,0,6158.61629368051,3.25207295796832,6.25,44.5,14.2659397125244,NA,NA,NA
ABM University College,2009,I4210130625,BWA,education,1,0,0,2,0,0,0,0,5179.4138607146,-14.1442346163423,6.150000095,43.4,21.9871006011963,9.8253002166748,NA,NA
ABM University College,2010,I4210130625,BWA,education,0,0,0,2,0,0,0,0,5584.5034321846,10.119723322694,6,52,19.5398902893066,NA,NA,NA
ABM University College,2011,I4210130625,BWA,education,1,0,0,3,0,0,0,0,5850.07858575461,6.83841052493574,9,53.2,17.5134506225586,10.8265537416631,NA,NA
ABM University College,2012,I4210130625,BWA,education,1,0,0,4,0,0,0,0,5742.91924452636,-0.170857099335691,16,56,21.6663608551025,8.1098729741114,0.26759,168.08972
ABM University College,2013,I4210130625,BWA,education,0,0,0,4,0,0,0,0,6284.97678002618,11.1029068737822,30,58,26.3370990753174,8.0172064061589,0.561,179.77334
ABM University College,2014,I4210130625,BWA,education,0,0,0,4,0,0,0,0,6547.12254115892,5.69714422072884,36.74474744423,60,24.8355648460166,7.88874188960311,NA,NA
ABM University College,2015,I4210130625,BWA,education,2,0,0,6,0,0,0,0,6141.20394726616,-4.85132507409779,38.89379883,62.1,26.8692925538756,8.39457941644674,NA,NA
ABM University College,2016,I4210130625,BWA,education,1,0,0,7,0,0,0,0,6490.83463593483,7.20442475914267,41.16859818,64.2,22.6605855291776,8.73589296358928,NA,NA
ABM University College,2017,I4210130625,BWA,education,0,0,0,7,0,0,0,0,6662.57644805467,4.11437856445083,43.57640076,67.4,21.4762885165012,7.80924443947392,NA,NA
