inst_id,year,n_works,n_international,international_share,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share,n_inter_african_only,inter_african_only_share
I4210130625,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2008,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2009,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2010,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2011,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2012,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2015,2,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2016,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2019,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2020,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2021,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2022,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2023,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2024,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130625,2025,3,1,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2010,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2011,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2019,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2022,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2023,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2024,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405261291,2025,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2006,5,1,0.2,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2007,6,4,0.6666666666666666,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2008,6,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2009,9,2,0.2222222222222222,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2010,12,5,0.4166666666666667,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2011,14,6,0.42857142857142855,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2012,16,4,0.25,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2013,22,7,0.3181818181818182,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2014,37,17,0.4594594594594595,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2015,50,19,0.38,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2016,54,20,0.37037037037037035,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2017,76,27,0.35526315789473684,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2018,102,47,0.46078431372549017,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2019,102,51,0.5,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2020,119,50,0.42016806722689076,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2021,146,65,0.4452054794520548,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2022,168,57,0.3392857142857143,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2023,195,90,0.46153846153846156,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2024,254,128,0.5039370078740157,NA,NA,NA,NA,NA,NA,NA,NA
I4210130929,2025,344,194,0.563953488372093,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2006,57,40,0.7017543859649122,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2007,77,49,0.6363636363636364,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2008,76,54,0.7105263157894737,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2009,94,66,0.7021276595744681,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2010,100,75,0.75,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2011,104,83,0.7980769230769231,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2012,149,93,0.6241610738255033,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2013,177,87,0.4915254237288136,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2014,233,106,0.45493562231759654,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2015,266,126,0.47368421052631576,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2016,369,147,0.3983739837398374,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2017,465,169,0.3634408602150538,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2018,527,193,0.36622390891840606,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2019,671,196,0.29210134128166915,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2020,836,302,0.361244019138756,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2021,962,368,0.38253638253638256,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2022,1168,438,0.375,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2023,1532,544,0.35509138381201044,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2024,1801,635,0.35258189894503056,NA,NA,NA,NA,NA,NA,NA,NA
I240042149,2025,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2010,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2011,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2019,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2022,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2023,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2024,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I4405257764,2025,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2006,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2007,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2008,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2009,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2010,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2011,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2013,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2014,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2015,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2016,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2017,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2018,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2019,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2020,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2021,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
I100352790,2022,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
