name;founded_date.x
Ahmed Zabana University - Relizane;2002
Air Force Institute of Technology Kaduna;1977
Akobo Heritage and Memorial University;2014
Benghazi Military University Academy;1957
Binyaminu Usman Polytechnic;1992
Brighton International University;1858
Bule Hora University;2008
Captain Elechi Amadi Polytechnic, Rumuola;1987
Catholic University of Health and Allied Sciences;1994
Center of Research in Mechanics;1969
Centre Africain d'Études Supérieures en Gestion;1978
Centre Universitaire Morsli Abdellah de Tipaza;2011
Chadli Bendjedid El Tarf University;1992
Chukwuemeka Odumegwu Ojukwu University, Igbariam Campus;2000
David Umahi Federal University of Health Sciences Uburu;2021
Dr. Hilla Limann Technical University;1999
Egyptian College of Critical Care Physicians;1996
Equator University of Science and Technology;2019
Ethiopian Defence University;1996
Evolutionary Engineering & Distributed Information Systems Laboratory;2002
Faculty of Economics and Management of Sfax;1975
Federal College of Education (Technical) Ekiadolor;1980
Federal College of Medical Laboratory Science and Technology;1954
Federal University Birnin Kebbi;2013
Federal University Gashua;2013
Federal University Kashere;2011
Federal University of Technology Ikot Abasi;2021
Fezzan University;2017
Freetown Polytechnic;2001
Giza Engineering Institute;2007
Gweru Polytechnic Institute;1984
Health International Private University;2006
Hebron Theological College;1971
High Institute For Computers and Management Information Systems;2001
High Institute for Management Sciences;1997
Higher Institute of Advanced Studies;2003
Higher Institute of Computer Science and Management Technology;2001
Higher Institute of Islamic Studies;1989
Higher Knowledge Institute of Languages ​​and Translation;2005
Hillside Teachers' College;1997
Hypatia of Alexandria Institute for Reflexion and Studies;2008
IGAD Sheikh Technical Veterinary School and Reference Centre;2002
Injibara University;2015
Institut International des Sciences et de Technologie;1995
Institut National du Bâtiment et des Travaux Publics;1961
Institut National d’Hygiène Publique;1959
Institut PrépaVogt;2006
Institut Royal de Formation des Cadres de la Jeunesse et des Sports;1971
Institut Supérieur de Formation à Distance;1982
Institut Supérieur Pédagogique de Gitwe;1993
Institut Supérieur d'Etudes Sociales;1948
Institut Supérieur d'Informatique et des Technologies de Communication de Hammam Sousse;2002
Institut Supérieur de Gestion de Tunis;1969
Institut Supérieur de Technologie d'Antananarivo;1992
Institut Universitaire Siantou;1991
Institut Universitaire du Bénin;2002
Institute for Meteorological Training and Research, WMO Regional Training Centre;1965
Instituto Superior Politécnico Metropolitano de Angola;2010
Instituts Supérieurs des Professions Infirmières et Techniques de Santé;2013
International Crops Research Institute for the Semi-Arid Tropics;1972
International University & Polytechnic of Benin;2005
Jigawa State College of Nursing Sciences;1989
KCMC University;1997
Karl Kumm University;2020
Katanga Methodist University;1953
Lafoole University;1954
Lebanese International University of Mauritania;2008
Libya Open University;1990
Mission de Promotion des Materiaux Locaux;1986
Mulago School of Nursing and Midwifery;1955
National School of Electronics and Telecommunications of Sfax, Tunisia;2002
North Gate University;2006
Obour Institutes;1999
One World University;1998
Open University of West Africa;2011
Pioneer International University;2005
Regent Business School;1998
Regentropfen University College;2016
Rumbek University;2010
Sabratha University;2015
Sanaag University of Science and Technology;2009
Sheppard and Lapsley Presbyterian University of Congo;1997
Social Work Institute in Cairo;1937
South African National Energy Development Institute;2011
South African School of Motion Picture Medium and Live Performance;1994
St. Mary's University in Juba;2009
State University of Medical and Applied Sciences;2022
Sudanese Universities Information Network;2005
Summit University, Offa;2015
Universidade Lusíada de Angola;2000
Universidade Lusófona da Guiné;2008
Universidade Politecnica;1994
Universidade São Tomás de Moçambique;2004
Universidade Óscar Ribas;2007
Universite Adventiste de Lukanga;1979
Universite des Sciences Appliquée et Management;2004
University College of Aviation and Technology;2011
University Elmergib;1991
University of Bandundu;1994
University of Dongola;1994
University of Gedo;2010
University of Timbuktu;2011
Université Amadou Mahtar Mbow;2015
Université Cardinal Malula;1984
Université Dakar-Bourguiba;1998
Université Hassan II Mohammedia;1992
Université Mohammed VI Polytechnique;2014
Université Méditerranéenne Libre de Tunis;2004
Université Privée d'Enseignement Supérieur El Amel;2004
Université Professionnelle d'Afrique;2002
Université William Booth;1996
Université d'Agriculture de Kétou;2013
Université de Bondoukou;2023
Université de Denis Sassou N'guesso;2020
Université de Notre-Dame du Kasai;1996
Université de ain Témouchent;2009
Université des Sciences, de Technologie et de Médecine;1981
Uzima University College;2012
École Normale Supérieure Casablanca;1972
École Normale Supérieure de l'Enseignement Technique de Mohammedia;1985
École Supérieure d'Informatique Appliquée;1993
École Supérieure d'Informatique et de Management des Affaires;1995
École Supérieure de Communication et de Publicité;1994
École Supérieure en Sciences Appliquées de Tlemcen;2009
École des Hautes Études en Ingénierie des Systèmes d'Information;1996
