inst_id,year,n_publications
https://openalex.org/I686019,2016,3809
https://openalex.org/I686019,2017,4607
https://openalex.org/I686019,2018,4764
https://openalex.org/I686019,2019,4806
https://openalex.org/I686019,2020,4952
https://openalex.org/I686019,2021,5488
https://openalex.org/I686019,2022,4929
https://openalex.org/I686019,2023,5474
https://openalex.org/I686019,2024,5587
https://openalex.org/I686019,2025,5882
https://openalex.org/I686019,2026,2050
https://openalex.org/I4387152206,2026,359
https://openalex.org/I891191580,2012,3881
https://openalex.org/I891191580,2013,4808
https://openalex.org/I891191580,2014,4856
https://openalex.org/I891191580,2015,5385
https://openalex.org/I891191580,2016,5843
https://openalex.org/I891191580,2017,5905
https://openalex.org/I891191580,2018,6174
https://openalex.org/I891191580,2019,6062
https://openalex.org/I891191580,2020,6053
https://openalex.org/I891191580,2021,6302
https://openalex.org/I891191580,2022,6457
https://openalex.org/I891191580,2023,6723
https://openalex.org/I891191580,2024,6471
https://openalex.org/I891191580,2025,5193
https://openalex.org/I891191580,2026,1930
https://openalex.org/I9927081,2012,2645
https://openalex.org/I9927081,2013,3031
https://openalex.org/I9927081,2014,3346
https://openalex.org/I9927081,2015,3535
https://openalex.org/I9927081,2016,3424
https://openalex.org/I9927081,2017,3530
https://openalex.org/I9927081,2018,3670
https://openalex.org/I9927081,2019,3815
https://openalex.org/I9927081,2020,4043
https://openalex.org/I9927081,2021,4286
https://openalex.org/I9927081,2022,3955
https://openalex.org/I9927081,2023,3936
https://openalex.org/I9927081,2024,3755
https://openalex.org/I9927081,2025,4020
https://openalex.org/I9927081,2026,1675
https://openalex.org/I204337017,2011,8569
https://openalex.org/I204337017,2012,8452
https://openalex.org/I204337017,2013,8325
https://openalex.org/I204337017,2014,8440
https://openalex.org/I204337017,2015,8850
https://openalex.org/I204337017,2016,9101
https://openalex.org/I204337017,2017,9672
https://openalex.org/I204337017,2018,9714
https://openalex.org/I204337017,2019,12116
https://openalex.org/I204337017,2020,10889
https://openalex.org/I204337017,2021,10696
https://openalex.org/I204337017,2022,10728
https://openalex.org/I204337017,2023,11313
https://openalex.org/I204337017,2024,10570
https://openalex.org/I204337017,2025,9605
https://openalex.org/I204337017,2026,4233
https://openalex.org/I240042149,2023,1522
https://openalex.org/I240042149,2024,1789
https://openalex.org/I240042149,2025,1902
https://openalex.org/I240042149,2026,770
https://openalex.org/I181063083,2021,1227
https://openalex.org/I181063083,2022,1321
https://openalex.org/I181063083,2023,1357
https://openalex.org/I181063083,2024,1459
https://openalex.org/I181063083,2025,1946
https://openalex.org/I181063083,2026,540
https://openalex.org/I95293974,2026,99
https://openalex.org/I16038530,2012,727
https://openalex.org/I16038530,2013,676
https://openalex.org/I16038530,2014,694
https://openalex.org/I16038530,2015,699
https://openalex.org/I16038530,2016,667
https://openalex.org/I16038530,2017,667
https://openalex.org/I16038530,2018,952
https://openalex.org/I16038530,2019,557
https://openalex.org/I16038530,2020,653
https://openalex.org/I16038530,2021,711
https://openalex.org/I16038530,2022,623
https://openalex.org/I16038530,2023,550
https://openalex.org/I16038530,2024,563
https://openalex.org/I16038530,2025,484
https://openalex.org/I16038530,2026,204
https://openalex.org/I117222138,2023,913
https://openalex.org/I117222138,2024,1075
https://openalex.org/I117222138,2025,1550
https://openalex.org/I117222138,2026,569
https://openalex.org/I177001074,2017,363
https://openalex.org/I177001074,2019,484
https://openalex.org/I177001074,2020,495
https://openalex.org/I177001074,2021,499
https://openalex.org/I177001074,2022,511
https://openalex.org/I177001074,2023,476
https://openalex.org/I177001074,2024,478
https://openalex.org/I177001074,2025,472
https://openalex.org/I177001074,2026,244
https://openalex.org/I322491407,2020,444
https://openalex.org/I322491407,2021,476
https://openalex.org/I322491407,2022,529
https://openalex.org/I322491407,2023,538
https://openalex.org/I322491407,2024,633
https://openalex.org/I322491407,2025,683
https://openalex.org/I322491407,2026,279
https://openalex.org/I59411706,2016,2804
https://openalex.org/I59411706,2017,2822
https://openalex.org/I59411706,2018,3626
https://openalex.org/I59411706,2019,3239
https://openalex.org/I59411706,2020,3204
https://openalex.org/I59411706,2021,3470
https://openalex.org/I59411706,2022,3066
https://openalex.org/I59411706,2023,3600
https://openalex.org/I59411706,2024,3448
https://openalex.org/I59411706,2025,3775
https://openalex.org/I59411706,2026,1130
https://openalex.org/I4537092,2022,3025
https://openalex.org/I4537092,2023,3030
https://openalex.org/I5681781,2026,3196
https://openalex.org/I71965598,2024,283
https://openalex.org/I71965598,2025,282
https://openalex.org/I71965598,2026,127
https://openalex.org/I21067949,2021,657
https://openalex.org/I21067949,2022,756
https://openalex.org/I21067949,2023,832
https://openalex.org/I21067949,2024,762
https://openalex.org/I21067949,2025,3450
https://openalex.org/I21067949,2026,314
https://openalex.org/I198587356,2026,255
https://openalex.org/I29787537,2024,1093
https://openalex.org/I52407163,2025,1317
https://openalex.org/I52407163,2026,554
https://openalex.org/I4387154071,2026,215
https://openalex.org/I12789410,2025,1793
https://openalex.org/I12789410,2026,724
https://openalex.org/I119939603,2022,1322
https://openalex.org/I119939603,2023,1336
https://openalex.org/I119939603,2024,1368
