inst_id,year,n_publications
I4210130929,2006,5
I4210130929,2007,6
I4210130929,2008,6
I4210130929,2009,9
I4210130929,2010,11
I4210130929,2011,14
I4210130929,2012,15
I4210130929,2013,22
I4210130929,2014,37
I4210130929,2015,49
I4210130929,2016,54
I4210130929,2017,75
I4210130929,2018,102
I4210130929,2019,100
I4210130929,2020,119
I4210130929,2021,146
I4210130929,2022,167
I4210130929,2023,193
I4210130929,2024,252
I4210130929,2025,336
I4210130929,2026,142
I240042149,2006,57
I240042149,2007,77
I240042149,2008,75
I240042149,2009,93
I240042149,2010,100
I240042149,2011,102
I240042149,2012,148
I240042149,2013,176
I240042149,2014,231
I240042149,2015,265
I240042149,2016,369
I240042149,2017,457
I240042149,2018,523
I240042149,2019,670
I240042149,2020,832
I240042149,2021,958
I240042149,2022,1156
I240042149,2023,1529
I240042149,2024,1794
I240042149,2025,1909
I240042149,2026,873
I4405257764,2006,0
I4405257764,2007,0
I4405257764,2008,0
I4405257764,2009,0
I4405257764,2010,0
I4405257764,2011,0
I4405257764,2012,0
I4405257764,2013,0
I4405257764,2014,0
I4405257764,2015,0
I4405257764,2016,0
I4405257764,2017,0
I4405257764,2018,0
I4405257764,2019,0
I4405257764,2020,0
I4405257764,2021,0
I4405257764,2022,0
I4405257764,2023,0
I4405257764,2024,0
I4405257764,2025,0
I4405257764,2026,0
I100352790,2006,33
I100352790,2007,39
I100352790,2008,35
I100352790,2009,25
I100352790,2010,44
I100352790,2011,59
I100352790,2012,52
I100352790,2013,92
I100352790,2014,133
I100352790,2015,124
I100352790,2016,126
I100352790,2017,159
I100352790,2018,202
I100352790,2019,252
I100352790,2020,296
I100352790,2021,251
I100352790,2022,362
I100352790,2023,327
I100352790,2024,324
I100352790,2025,578
I100352790,2026,349
I4210161785,2006,58
I4210161785,2007,104
I4210161785,2008,28
I4210161785,2009,18
I4210161785,2010,12
I4210161785,2011,17
I4210161785,2012,7
I4210161785,2013,21
I4210161785,2014,28
I4210161785,2015,20
I4210161785,2016,25
I4210161785,2017,21
I4210161785,2018,27
I4210161785,2019,78
I4210161785,2020,180
I4210161785,2021,167
I4210161785,2022,171
I4210161785,2023,280
I4210161785,2024,349
I4210161785,2025,326
I4210161785,2026,130
I4210130625,2006,0
I4210130625,2007,0
I4210130625,2008,1
I4210130625,2009,1
I4210130625,2010,0
I4210130625,2011,1
I4210130625,2012,1
I4210130625,2013,0
I4210130625,2014,0
I4210130625,2015,2
I4210130625,2016,1
I4210130625,2017,0
I4210130625,2018,0
I4210130625,2019,0
I4210130625,2020,1
I4210130625,2021,1
I4210130625,2022,2
I4210130625,2023,0
I4210130625,2024,0
I4210130625,2025,3
I4210130625,2026,1
I4405266575,2006,0
I4405266575,2007,0
I4405266575,2008,0
I4405266575,2009,0
I4405266575,2010,0
I4405266575,2011,0
I4405266575,2012,0
I4405266575,2013,0
I4405266575,2014,0
I4405266575,2015,0
I4405266575,2016,0
I4405266575,2017,0
I4405266575,2018,0
I4405266575,2019,0
I4405266575,2020,0
I4405266575,2021,0
I4405266575,2022,0
I4405266575,2023,0
I4405266575,2024,0
I4405266575,2025,0
I4405266575,2026,0
I4210140896,2006,1
I4210140896,2007,2
I4210140896,2008,6
I4210140896,2009,5
I4210140896,2010,5
I4210140896,2011,11
I4210140896,2012,8
I4210140896,2013,13
I4210140896,2014,7
I4210140896,2015,8
I4210140896,2016,15
I4210140896,2017,14
I4210140896,2018,15
I4210140896,2019,15
I4210140896,2020,12
I4210140896,2021,22
I4210140896,2022,27
I4210140896,2023,22
I4210140896,2024,43
I4210140896,2025,54
I4210140896,2026,46
I169864488,2006,29
I169864488,2007,16
I169864488,2008,14
I169864488,2009,24
I169864488,2010,48
I169864488,2011,82
I169864488,2012,68
I169864488,2013,87
I169864488,2014,132
I169864488,2015,159
I169864488,2016,139
I169864488,2017,181
I169864488,2018,284
I169864488,2019,321
I169864488,2020,405
I169864488,2021,471
I169864488,2022,464
I169864488,2023,530
I169864488,2024,580
I169864488,2025,553
I169864488,2026,249
I4210134055,2006,0
I4210134055,2007,0
I4210134055,2008,0
I4210134055,2009,0
I4210134055,2010,0
I4210134055,2011,0
I4210134055,2012,0
I4210134055,2013,0
I4210134055,2014,0
I4210134055,2015,0
I4210134055,2016,1
I4210134055,2017,3
I4210134055,2018,2
I4210134055,2019,6
I4210134055,2020,7
I4210134055,2021,49
I4210134055,2022,16
I4210134055,2023,27
I4210134055,2024,21
I4210134055,2025,18
I4210134055,2026,6
I1328943360,2006,3
I1328943360,2007,10
I1328943360,2008,20
I1328943360,2009,22
I1328943360,2010,50
I1328943360,2011,65
I1328943360,2012,95
I1328943360,2013,144
I1328943360,2014,129
I1328943360,2015,179
I1328943360,2016,219
I1328943360,2017,217
I1328943360,2018,316
I1328943360,2019,228
I1328943360,2020,151
I1328943360,2021,138
I1328943360,2022,116
I1328943360,2023,96
I1328943360,2024,84
I1328943360,2025,48
I1328943360,2026,24
I4210131124,2006,5
I4210131124,2007,4
I4210131124,2008,2
I4210131124,2009,3
I4210131124,2010,4
I4210131124,2011,1
I4210131124,2012,5
I4210131124,2013,9
I4210131124,2014,3
I4210131124,2015,4
I4210131124,2016,7
I4210131124,2017,3
I4210131124,2018,4
I4210131124,2019,6
I4210131124,2020,7
I4210131124,2021,2
I4210131124,2022,3
I4210131124,2023,9
I4210131124,2024,11
I4210131124,2025,1
I4210131124,2026,1
I1322597698,2006,84
I1322597698,2007,90
I1322597698,2008,125
I1322597698,2009,125
I1322597698,2010,165
I1322597698,2011,195
I1322597698,2012,250
I1322597698,2013,250
I1322597698,2014,242
I1322597698,2015,219
I1322597698,2016,198
I1322597698,2017,258
I1322597698,2018,242
I1322597698,2019,275
I1322597698,2020,290
I1322597698,2021,278
I1322597698,2022,199
I1322597698,2023,263
I1322597698,2024,200
I1322597698,2025,231
I1322597698,2026,179
I2800664390,2006,3
I2800664390,2007,1
I2800664390,2008,0
I2800664390,2009,3
I2800664390,2010,5
I2800664390,2011,1
I2800664390,2012,2
I2800664390,2013,1
I2800664390,2014,1
I2800664390,2015,4
I2800664390,2016,3
I2800664390,2017,5
I2800664390,2018,0
I2800664390,2019,3
I2800664390,2020,4
I2800664390,2021,6
I2800664390,2022,2
I2800664390,2023,10
I2800664390,2024,7
I2800664390,2025,13
I2800664390,2026,5
I3129459759,2006,3
I3129459759,2007,2
I3129459759,2008,2
I3129459759,2009,1
I3129459759,2010,2
I3129459759,2011,1
I3129459759,2012,3
I3129459759,2013,2
I3129459759,2014,18
I3129459759,2015,8
I3129459759,2016,4
I3129459759,2017,1
I3129459759,2018,15
I3129459759,2019,8
I3129459759,2020,20
I3129459759,2021,21
I3129459759,2022,34
I3129459759,2023,54
I3129459759,2024,59
I3129459759,2025,71
I3129459759,2026,28
I24835296,2006,37
I24835296,2007,34
I24835296,2008,61
I24835296,2009,50
I24835296,2010,38
I24835296,2011,38
I24835296,2012,34
I24835296,2013,59
I24835296,2014,55
I24835296,2015,36
I24835296,2016,27
I24835296,2017,26
I24835296,2018,38
I24835296,2019,38
I24835296,2020,90
I24835296,2021,74
I24835296,2022,108
I24835296,2023,145
I24835296,2024,185
I24835296,2025,218
I24835296,2026,136
I3130155654,2006,0
I3130155654,2007,2
I3130155654,2008,2
I3130155654,2009,1
I3130155654,2010,1
I3130155654,2011,4
I3130155654,2012,2
I3130155654,2013,13
I3130155654,2014,27
I3130155654,2015,12
I3130155654,2016,25
I3130155654,2017,23
I3130155654,2018,34
I3130155654,2019,53
I3130155654,2020,62
I3130155654,2021,82
I3130155654,2022,90
I3130155654,2023,119
I3130155654,2024,135
I3130155654,2025,216
I3130155654,2026,101
I4405261048,2006,0
I4405261048,2007,0
I4405261048,2008,0
I4405261048,2009,0
I4405261048,2010,0
I4405261048,2011,0
I4405261048,2012,0
I4405261048,2013,0
I4405261048,2014,0
I4405261048,2015,0
I4405261048,2016,0
I4405261048,2017,0
I4405261048,2018,0
I4405261048,2019,0
I4405261048,2020,0
I4405261048,2021,0
I4405261048,2022,0
I4405261048,2023,0
I4405261048,2024,0
I4405261048,2025,0
I4405261048,2026,0
I865572129,2006,26
I865572129,2007,55
I865572129,2008,42
I865572129,2009,41
I865572129,2010,36
I865572129,2011,38
I865572129,2012,46
I865572129,2013,63
I865572129,2014,93
I865572129,2015,59
I865572129,2016,83
I865572129,2017,84
I865572129,2018,119
I865572129,2019,217
I865572129,2020,347
I865572129,2021,525
I865572129,2022,623
I865572129,2023,687
I865572129,2024,743
I865572129,2025,692
I865572129,2026,299
I106980716,2006,6
I106980716,2007,9
I106980716,2008,4
I106980716,2009,3
I106980716,2010,12
I106980716,2011,13
I106980716,2012,13
I106980716,2013,35
I106980716,2014,39
I106980716,2015,40
I106980716,2016,54
I106980716,2017,77
I106980716,2018,132
I106980716,2019,115
I106980716,2020,131
I106980716,2021,117
I106980716,2022,108
I106980716,2023,108
I106980716,2024,116
I106980716,2025,184
I106980716,2026,143
I4210129636,2006,29
I4210129636,2007,29
I4210129636,2008,48
I4210129636,2009,33
I4210129636,2010,41
I4210129636,2011,42
I4210129636,2012,39
I4210129636,2013,58
I4210129636,2014,77
I4210129636,2015,59
I4210129636,2016,51
I4210129636,2017,95
I4210129636,2018,97
I4210129636,2019,313
I4210129636,2020,270
I4210129636,2021,406
I4210129636,2022,594
I4210129636,2023,549
I4210129636,2024,693
I4210129636,2025,715
I4210129636,2026,347
I4537092,2006,282
I4537092,2007,386
I4537092,2008,342
I4537092,2009,371
I4537092,2010,485
I4537092,2011,642
I4537092,2012,620
I4537092,2013,663
I4537092,2014,1103
I4537092,2015,1266
I4537092,2016,1280
I4537092,2017,1754
I4537092,2018,1982
I4537092,2019,2273
I4537092,2020,2234
I4537092,2021,2529
I4537092,2022,3032
I4537092,2023,3037
I4537092,2024,3260
I4537092,2025,3083
I4537092,2026,1440
I28653996,2006,33
I28653996,2007,27
I28653996,2008,22
I28653996,2009,32
I28653996,2010,54
I28653996,2011,100
I28653996,2012,117
I28653996,2013,167
I28653996,2014,187
I28653996,2015,184
I28653996,2016,173
I28653996,2017,210
I28653996,2018,243
I28653996,2019,353
I28653996,2020,529
I28653996,2021,567
I28653996,2022,591
I28653996,2023,574
I28653996,2024,562
I28653996,2025,687
I28653996,2026,380
I2799835767,2006,0
I2799835767,2007,3
I2799835767,2008,0
I2799835767,2009,3
I2799835767,2010,3
I2799835767,2011,0
I2799835767,2012,5
I2799835767,2013,4
I2799835767,2014,7
I2799835767,2015,8
I2799835767,2016,6
I2799835767,2017,19
I2799835767,2018,45
I2799835767,2019,69
I2799835767,2020,108
I2799835767,2021,148
I2799835767,2022,158
I2799835767,2023,240
I2799835767,2024,238
I2799835767,2025,268
I2799835767,2026,110
I3132429795,2006,1
I3132429795,2007,0
I3132429795,2008,0
I3132429795,2009,2
I3132429795,2010,1
I3132429795,2011,1
I3132429795,2012,0
I3132429795,2013,8
I3132429795,2014,31
I3132429795,2015,58
I3132429795,2016,37
I3132429795,2017,43
I3132429795,2018,57
I3132429795,2019,115
I3132429795,2020,210
I3132429795,2021,96
I3132429795,2022,72
I3132429795,2023,116
I3132429795,2024,173
I3132429795,2025,149
I3132429795,2026,93
I4210121139,2006,0
I4210121139,2007,0
I4210121139,2008,0
I4210121139,2009,1
I4210121139,2010,1
I4210121139,2011,0
I4210121139,2012,0
I4210121139,2013,1
I4210121139,2014,1
I4210121139,2015,1
I4210121139,2016,1
I4210121139,2017,0
I4210121139,2018,1
I4210121139,2019,1
I4210121139,2020,3
I4210121139,2021,2
I4210121139,2022,5
I4210121139,2023,4
I4210121139,2024,7
I4210121139,2025,8
I4210121139,2026,3
I4405255364,2006,0
I4405255364,2007,0
I4405255364,2008,0
I4405255364,2009,0
I4405255364,2010,0
I4405255364,2011,0
I4405255364,2012,0
I4405255364,2013,0
I4405255364,2014,0
I4405255364,2015,0
I4405255364,2016,0
I4405255364,2017,0
I4405255364,2018,0
I4405255364,2019,0
I4405255364,2020,0
I4405255364,2021,0
I4405255364,2022,0
I4405255364,2023,0
I4405255364,2024,0
I4405255364,2025,0
I4405255364,2026,0
