year,rank,university_name,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Faculty Ratio, International Research
2016,1,Massachusetts Institute of Technology (MIT),100,99.9,100,100,,96.6,100,
2016,2,Stanford University,100,99.7,100,100,,74,99.7,
2016,3,Harvard University,100,100,98.5,100,,70.4,100,
2016,4,University of Cambridge,100,86.5,100,100,,97.8,97.6,
2016,5,California Institute of Technology (Caltech),99.4,100,100,80.7,,87.7,91.2,
2016,6,University of Oxford,100,83.6,100,100,,98.2,98.7,
2016,7,UCL,99.8,79.1,98.7,99.3,,100,99.1,
2016,8,ETH Zurich,99.6,98.3,73.3,98.9,,98.8,100,
2016,9,Imperial College London,99.6,69.8,100,100,,100,100,
2016,10,University of Chicago,99.9,88.7,95.4,94.1,,70.5,66.5,
2016,11,Princeton University,100,100,81.8,97.9,,68.7,65.3,
2016,12,National University of Singapore (NUS),100,70.9,88.1,100,,90.8,100,
2016,13,"Nanyang Technological University, Singapore (NTU Singapore)",91.6,83.6,94,94.1,,93.9,100,
2016,14,EPFL – École polytechnique fédérale de Lausanne,82.1,99.1,93.9,93.5,,100,100,
2016,15,Yale University,100,65.2,100,99.9,,65,91.1,
2016,16,Cornell University,99.6,95.9,68.9,94,,66,91.6,
2016,17,Johns Hopkins University,94.8,81.8,100,64.7,,69.7,98.1,
2016,18,University of Pennsylvania,97.4,72.9,100,96.5,,64.2,51.1,
2016,19,The University of Edinburgh,99.2,61.7,87.6,95,,99.1,95.3,
2016,20,Columbia University,99.9,60.5,100,99.2,,93.7,37.8,
2016,21,King's College London,91.8,71.2,88.2,91.1,,99.3,97.6,
2016,22,Australian National University (ANU),99.1,86.9,56.5,89.6,,96.3,100,
2016,23,University of Michigan-Ann Arbor,99.6,71.7,86.7,89.6,,37.9,80.8,
2016,=24,Tsinghua University,99,79.5,85.6,99.2,,28.1,43.3,
2016,=24,Duke University,94,86,99.2,78.3,,56.7,null,
2016,26,Northwestern University,90.2,94.4,94.3,76.7,,51.7,33.4,
2016,27,The University of Hong Kong,98.9,47.3,84,93.8,,99.3,100,
2016,28,"University of California, Berkeley (UCB)",100,99.8,31.4,99.9,,79.2,98.1,
2016,29,The University of Manchester,97.9,53.5,76.9,99.7,,98.6,90.1,
2016,30,McGill University,97.3,63.1,68.8,93.7,,95.2,90.9,
2016,31,"University of California, Los Angeles (UCLA)",100,87.6,61.6,99.6,,50.7,34.1,
2016,32,University of Toronto,99.8,50,74.5,92.8,,93.1,97.2,
2016,33,"Ecole normale supérieure, Paris",82.1,100,76.6,71.8,,65.1,84.5,
2016,34,The University of Tokyo,100,64.4,92.2,99.6,,null,null,
2016,35,Seoul National University,98.5,72.9,82.1,96.1,,null,26,
2016,36,The Hong Kong University of Science and Technology,91.1,87.5,45.7,86,,98.7,100,
2016,=37,Kyoto University,99.7,60.3,95.3,92.6,,null,null,
2016,=37,The London School of Economics and Political Science (LSE),88.8,72.3,57.1,100,,100,100,
2016,39,Peking University,99.8,64.8,66.4,99.8,,49.6,53.6,
2016,40,"University of California, San Diego (UCSD)",95.9,92.1,64.9,62.8,,39.1,52.9,
2016,41,University of Bristol,85.5,62.7,73.8,94.8,,82.4,88.8,
2016,42,The University of Melbourne,99.7,75.1,27.5,99.2,,99.3,82.6,
2016,43,Fudan University,90.8,73.9,65.6,95.3,,46.5,66.7,
2016,45,University of British Columbia,99.1,66.8,38.1,95.5,,68.3,87.2,
2016,=46,The University of Sydney,99.1,67.1,25.7,98.1,,94.9,99.8,
2016,=46,New York University (NYU),97.3,28.3,95,96.2,,82.4,null,
2016,=46,KAIST - Korea Advanced Institute of Science & Technology,85.5,99.9,69.2,83,,null,23.5,
2016,=49,The University of New South Wales (UNSW Sydney),95.3,77.1,null,98.7,,95.2,100,
2016,=49,Brown University,73.5,95.5,78.2,68.3,,66.7,69,
2016,=51,The University of Queensland,93.4,79.9,33.1,82.7,,84.6,100,
2016,=51,The University of Warwick,83.9,58.2,62.9,98.9,,99,96,
2016,=53,University of Wisconsin-Madison,94.5,56.4,84.2,55.5,,33.1,52.7,
2016,=53,Ecole Polytechnique,62.7,56,99.4,99.6,,90.9,96.9,
2016,55,City University of Hong Kong (CityUHK),64.8,91.4,83,43.9,,98.4,100,
2016,56,Tokyo Institute of Technology (Tokyo Tech),82.7,67.5,90.4,77.4,,26.3,25.3,
2016,57,University of Amsterdam,91.4,80.2,42.8,77.5,,35.3,72.4,
2016,58,Carnegie Mellon University,83.8,94.1,35.1,81.4,,99.8,32.2,
2016,59,University of Washington,91.8,92,45.7,52.8,,47.5,40.6,
2016,60,Technical University of Munich,85,28.9,86.4,97.6,,57,53.7,
2016,61,Shanghai Jiao Tong University,87.1,80.1,37.3,95.7,,null,71,
2016,62,Delft University of Technology,75.6,94.2,28.3,86.9,,74.8,96.5,
2016,=63,Osaka University,88.6,57,83.1,68.2,,null,null,
2016,=63,University of Glasgow,80,57.6,61.6,63,,96.9,91.2,
2016,65,Monash University,91.8,64.2,null,93.1,,96.4,100,
2016,66,University of Illinois Urbana-Champaign,95.1,93.8,null,62.2,,71.2,35.3,
2016,67,University of Texas at Austin,97.5,96.1,null,82.9,,22.6,null,
2016,=68,Ludwig-Maximilians-Universität München,96.1,49.3,43.6,83.5,,39,58.6,
2016,=68,National Taiwan University (NTU),95.7,80.7,36,68.9,,null,null,
2016,=68,University of Copenhagen,81.9,25,100,64.8,,31.3,86,
2016,71,Georgia Institute of Technology,76.1,86,48.8,78,,87.5,null,
2016,72,Universität Heidelberg,90.1,36.4,69.7,70.5,,59.5,48.4,
2016,73,Lund University,82,51.7,49.3,78.8,,73.3,89.1,
2016,74,Durham University,64.9,89.5,30.7,95.7,,87.6,94,
2016,=75,Tohoku University,78.7,52.3,97.9,57.5,,null,null,
2016,=75,University of Nottingham,71.4,50.7,59,91.3,,87.9,90.3,
2016,77,University of St Andrews,54.3,79.2,73,58.4,,99.9,98.2,
2016,78,University of North Carolina at Chapel Hill,76.9,74.7,77.1,44.8,,null,34.2,
2016,79,KU Leuven,87.4,89.4,null,71.6,,41.3,83.7,
2016,80,University of Zurich,68.6,29.9,95.8,69.3,,62.2,100,
2016,81,The University of Auckland,90.1,50,null,85.8,,89.5,86.5,
2016,82,University of Birmingham,73.9,50.1,49.3,88.7,,84.3,90.3,
2016,83,Pohang University of Science And Technology (POSTECH),47,100,99.5,57.3,,null,44.5,
2016,84,The University of Sheffield,70.3,52,62.7,66.2,,97.1,84.8,
2016,=85,Universidad de Buenos Aires (UBA),92.8,null,65.2,98.9,,58.4,46.4,
2016,=85,"University of California, Davis",80.6,88.7,25.6,49.9,,47.6,65.5,
2016,87,University of Southampton,63.3,56.2,72.8,48.2,,96,93.3,
2016,88,The Ohio State University,75.5,40.1,77.2,52,,48.1,81.3,
2016,89,Boston University,71.3,63.1,56.5,83.9,,77.7,null,
2016,90,Rice University,43,98,85.4,null,,88.8,89.2,
2016,91,University of Helsinki,75.5,31.2,93.7,57.2,,null,65,
2016,92,Purdue University,74.5,63.6,30.2,70.8,,77.4,96.1,
2016,93,University of Leeds,72,47.3,49.3,81.8,,77.4,77.9,
2016,94,University of Alberta,70.6,49.8,53.5,61.9,,83.5,92.6,
2016,=95,Pennsylvania State University,81.3,81.6,null,72.1,,44.1,null,
