year,rank,university_name,Academic Reputation,Citations per Faculty,Faculty Student Ratio,Employer Reputation,Employment Outcomes,International Student Ratio,International Faculty Ratio, International Research
2018,1,Massachusetts Institute of Technology (MIT),100,99.9,100,100,,96.1,100,
2018,2,Stanford University,100,99.4,100,100,,72.7,99.6,
2018,3,Harvard University,100,99.9,98.3,100,,75.2,96.5,
2018,4,California Institute of Technology (Caltech),99.5,100,100,85.4,,89.2,93.4,
2018,5,University of Cambridge,100,78.3,100,100,,97.7,97.4,
2018,6,University of Oxford,100,76.3,100,100,,98.5,98.6,
2018,7,UCL,99.7,74.7,99.1,99.5,,100,96.6,
2018,8,Imperial College London,99.4,68.7,100,100,,100,100,
2018,9,University of Chicago,99.9,85.9,96.5,92.9,,79.8,71.9,
2018,10,ETH Zurich,99.6,98.7,68.2,99.4,,98.8,100,
2018,11,"Nanyang Technological University, Singapore (NTU Singapore)",93.9,83.3,93.6,96.6,,88.2,100,
2018,12,EPFL – École polytechnique fédérale de Lausanne,83,99.2,92,95.5,,100,100,
2018,13,Princeton University,100,100,70.9,97.3,,70.8,67.4,
2018,14,Cornell University,99.6,96.2,67.4,93.7,,79.2,92.2,
2018,15,National University of Singapore (NUS),100,66.2,88.8,99.9,,86.1,100,
2018,16,Yale University,100,63.2,100,99.8,,61.7,90.7,
2018,17,Johns Hopkins University,94.3,83.9,100,66.4,,81.3,87.9,
2018,18,Columbia University,99.9,62.3,100,98.1,,94.9,34.7,
2018,19,University of Pennsylvania,97.4,67.4,100,94.9,,64.5,67.1,
2018,20,Australian National University (ANU),99.3,85.6,55.3,90.4,,98.8,100,
2018,=21,Duke University,94,91.4,98.1,78.1,,56.6,null,
2018,=21,University of Michigan-Ann Arbor,99.7,66.7,89.6,92.2,,51.2,78,
2018,=23,King's College London,92.8,64.8,87.6,92.4,,99.2,97.4,
2018,=23,The University of Edinburgh,99.1,55.5,83.2,96.6,,98.6,94.9,
2018,25,Tsinghua University,99.2,75.3,86.7,99.6,,25.6,42.1,
2018,26,The University of Hong Kong,99.1,46.3,85.3,93.4,,99.4,100,
2018,27,"University of California, Berkeley (UCB)",100,99.3,36.2,99.9,,54.6,97.7,
2018,=28,Northwestern University,91.3,75.4,98.6,76.6,,55,57.9,
