inst_id,year,n_works,n_international_any,international_share_any,n_inter_african,inter_african_share,n_extra_african,extra_african_share
I4210130625,2006,0,0,NA,0,NA,0,NA
I4210130625,2007,0,0,NA,0,NA,0,NA
I4210130625,2008,0,0,NA,0,NA,0,NA
I4210130625,2009,0,0,NA,0,NA,0,NA
I4210130625,2010,0,0,NA,0,NA,0,NA
I4210130625,2011,0,0,NA,0,NA,0,NA
I4210130625,2012,0,0,NA,0,NA,0,NA
I4210130625,2013,0,0,NA,0,NA,0,NA
I4210130625,2014,0,0,NA,0,NA,0,NA
I4210130625,2015,0,0,NA,0,NA,0,NA
I4210130625,2016,0,0,NA,0,NA,0,NA
I4210130625,2017,0,0,NA,0,NA,0,NA
I4210130625,2018,0,0,NA,0,NA,0,NA
I4210130625,2019,0,0,NA,0,NA,0,NA
I4210130625,2020,0,0,NA,0,NA,0,NA
I4210130625,2021,0,0,NA,0,NA,0,NA
I4210130625,2022,0,0,NA,0,NA,0,NA
I4210130625,2023,0,0,NA,0,NA,0,NA
I4210130625,2024,0,0,NA,0,NA,0,NA
I4210130625,2025,0,0,NA,0,NA,0,NA
I4405261291,2006,0,0,NA,0,NA,0,NA
I4405261291,2007,0,0,NA,0,NA,0,NA
I4405261291,2008,0,0,NA,0,NA,0,NA
I4405261291,2009,0,0,NA,0,NA,0,NA
I4405261291,2010,0,0,NA,0,NA,0,NA
I4405261291,2011,0,0,NA,0,NA,0,NA
I4405261291,2012,0,0,NA,0,NA,0,NA
I4405261291,2013,0,0,NA,0,NA,0,NA
I4405261291,2014,0,0,NA,0,NA,0,NA
I4405261291,2015,0,0,NA,0,NA,0,NA
I4405261291,2016,0,0,NA,0,NA,0,NA
I4405261291,2017,0,0,NA,0,NA,0,NA
I4405261291,2018,0,0,NA,0,NA,0,NA
I4405261291,2019,0,0,NA,0,NA,0,NA
I4405261291,2020,0,0,NA,0,NA,0,NA
I4405261291,2021,0,0,NA,0,NA,0,NA
I4405261291,2022,0,0,NA,0,NA,0,NA
I4405261291,2023,0,0,NA,0,NA,0,NA
I4405261291,2024,0,0,NA,0,NA,0,NA
I4405261291,2025,0,0,NA,0,NA,0,NA
I4210130929,2006,0,0,NA,0,NA,0,NA
I4210130929,2007,0,0,NA,0,NA,0,NA
I4210130929,2008,0,0,NA,0,NA,0,NA
I4210130929,2009,0,0,NA,0,NA,0,NA
I4210130929,2010,0,0,NA,0,NA,0,NA
I4210130929,2011,0,0,NA,0,NA,0,NA
I4210130929,2012,0,0,NA,0,NA,0,NA
I4210130929,2013,0,0,NA,0,NA,0,NA
I4210130929,2014,0,0,NA,0,NA,0,NA
I4210130929,2015,0,0,NA,0,NA,0,NA
I4210130929,2016,0,0,NA,0,NA,0,NA
I4210130929,2017,0,0,NA,0,NA,0,NA
I4210130929,2018,0,0,NA,0,NA,0,NA
I4210130929,2019,0,0,NA,0,NA,0,NA
I4210130929,2020,0,0,NA,0,NA,0,NA
I4210130929,2021,0,0,NA,0,NA,0,NA
I4210130929,2022,0,0,NA,0,NA,0,NA
I4210130929,2023,0,0,NA,0,NA,0,NA
I4210130929,2024,0,0,NA,0,NA,0,NA
I4210130929,2025,0,0,NA,0,NA,0,NA
I240042149,2006,0,0,NA,0,NA,0,NA
I240042149,2007,0,0,NA,0,NA,0,NA
I240042149,2008,0,0,NA,0,NA,0,NA
I240042149,2009,0,0,NA,0,NA,0,NA
I240042149,2010,0,0,NA,0,NA,0,NA
I240042149,2011,0,0,NA,0,NA,0,NA
I240042149,2012,0,0,NA,0,NA,0,NA
I240042149,2013,0,0,NA,0,NA,0,NA
I240042149,2014,0,0,NA,0,NA,0,NA
I240042149,2015,0,0,NA,0,NA,0,NA
I240042149,2016,0,0,NA,0,NA,0,NA
I240042149,2017,0,0,NA,0,NA,0,NA
I240042149,2018,0,0,NA,0,NA,0,NA
I240042149,2019,0,0,NA,0,NA,0,NA
I240042149,2020,0,0,NA,0,NA,0,NA
I240042149,2021,0,0,NA,0,NA,0,NA
I240042149,2022,0,0,NA,0,NA,0,NA
I240042149,2023,0,0,NA,0,NA,0,NA
I240042149,2024,0,0,NA,0,NA,0,NA
I240042149,2025,0,0,NA,0,NA,0,NA
I4405257764,2006,0,0,NA,0,NA,0,NA
I4405257764,2007,0,0,NA,0,NA,0,NA
I4405257764,2008,0,0,NA,0,NA,0,NA
I4405257764,2009,0,0,NA,0,NA,0,NA
I4405257764,2010,0,0,NA,0,NA,0,NA
I4405257764,2011,0,0,NA,0,NA,0,NA
I4405257764,2012,0,0,NA,0,NA,0,NA
I4405257764,2013,0,0,NA,0,NA,0,NA
I4405257764,2014,0,0,NA,0,NA,0,NA
I4405257764,2015,0,0,NA,0,NA,0,NA
I4405257764,2016,0,0,NA,0,NA,0,NA
I4405257764,2017,0,0,NA,0,NA,0,NA
I4405257764,2018,0,0,NA,0,NA,0,NA
I4405257764,2019,0,0,NA,0,NA,0,NA
I4405257764,2020,0,0,NA,0,NA,0,NA
I4405257764,2021,0,0,NA,0,NA,0,NA
I4405257764,2022,0,0,NA,0,NA,0,NA
I4405257764,2023,0,0,NA,0,NA,0,NA
I4405257764,2024,0,0,NA,0,NA,0,NA
