name,wikidata_qid,founded_year,status,age_group
Tanzania Institute of Accountancy,Q66424102,2002,done,1990_2009
Université Catholique du Graben,Q3551526,1989,done,1960_1989
ABM University College,Q30266440,1989,done,1960_1989
AIMS Research and Innovation Centre,Q137796048,2023,done,post_2010
Abbès Laghrour University of Khenchela,Q30294238,2011,done,post_2010
Abdelmalek Essaâdi University,Q3551367,1982,done,1960_1989
Abdulrahman Al-Sumait University,Q16902334,1998,done,1990_2009
Abia State University,Q3509319,1981,done,1960_1989
Abiola Ajimobi Technical University Ibadan,NA,NA,done,NA
Abrar Research and Training Centre (ARACHTI),Q139771299,2014,done,post_2010
Abrar University,Q100955851,2014,done,post_2010
Abubakar Tafawa Balewa University,Q4670504,1982,done,1960_1989
Academic City College University,NA,NA,done,NA
Academic University,Q4059193,1724,done,pre_1960
Academy of Arts,Q383092,NA,done,NA
Academy of Engineering Sciences,Q19460085,2002,done,1990_2009
Académie des Beaux-Arts,Q337531,1816,done,pre_1960
Accra Institute of Technology,Q16240676,2009,done,1990_2009
Accra Technical University,Q4672825,1949,done,pre_1960
Achievers University,Q4673678,2007,done,1990_2009
Adama Hospital Medical College,Q136352001,2012,done,post_2010
Adama Science and Technology University,Q4680095,2005,done,1990_2009
Adamawa State University,Q4680123,2002,done,1990_2009
Addis Ababa Science and Technology University,Q30266442,2011,done,post_2010
Addis Ababa University,Q1238770,1950,done,pre_1960
Adekunle Ajasin University,Q4681526,1999,done,1990_2009
Adeleke University,Q25043984,2011,done,post_2010
Adigrat University,Q28223078,2011,done,post_2010
Admas University,Q721103,2006,done,1990_2009
Admiralty University of Nigeria,Q107724079,2017,done,post_2010
Adventist University Cosendai,NA,NA,done,NA
Adventist University of Africa,Q3551516,2005,done,1990_2009
Adventist University of Central Africa,Q24937816,1978,done,1960_1989
Adwa-Pan African University,Q60785773,2017,done,post_2010
Afe Babalola University,Q4688832,2009,done,1990_2009
Africa Health Sciences University,Q135398339,2024,done,post_2010
Africa International University,Q16250182,1983,done,1960_1989
Africa Nazarene University,Q4689577,1994,done,1990_2009
Africa University,Q383939,1992,done,1990_2009
African Bible University,Q4689708,2005,done,1990_2009
African Institute for Mathematical Sciences,Q2826172,2003,done,1990_2009
African Institute of Science and Technology,NA,NA,done,NA
African Leadership Institute,NA,NA,done,NA
African Leadership University,Q25104613,2015,done,post_2010
African Methodist Episcopal University,Q4689862,1995,done,1990_2009
African Regional Institute for Geospatial Information Science and Technology,Q124092211,NA,done,NA
African Rural University,Q17510024,2009,done,1990_2009
African University College of Communications,Q4689946,2002,done,1990_2009
African Virtual University,Q4689951,1997,done,1990_2009
Afro-American University of Central Africa,Q122142167,2015,done,post_2010
Afya na Haki Institute,Q130882836,2022,done,post_2010
Aga Khan University,Q4690953,1983,done,1960_1989
Aga Khan University Nairobi,NA,NA,done,NA
Agenla Academy,Q135738806,2012,done,post_2010
Agitel-Formation,Q2826874,1990,done,1990_2009
Agostinho Neto University,Q1325937,1962,done,1960_1989
Ahfad University for Women,Q400222,1966,done,1960_1989
Ahmadu Bello University,Q401034,1962,done,1960_1989
Ahmed Draia University,NA,NA,done,NA
Ahmed Zabana University - Relizane,NA,NA,done,NA
Ahram Canadian University,Q4702165,2005,done,1990_2009
Ain Shams University,Q2723670,1950,done,pre_1960
Air Force Institute of Technology Kaduna,NA,NA,done,NA
Ajayi Crowther University,Q4699675,2005,done,1990_2009
Akademia,Q189441,1364,done,pre_1960
Akademie Reformatoriese Opleiding en Studies,Q42116192,2003,done,1990_2009
Akhbar El Yom Academy,Q30294235,NA,done,NA
Akobo Heritage and Memorial University,Q4701497,NA,done,NA
"Akrofi-Christaller Institute of Theology, Mission and Culture",Q30294150,1987,done,1960_1989
Aksum University,Q4701848,2007,done,1990_2009
Akwa Ibom State College Of Education,Q124448615,1991,done,1990_2009
Akwa Ibom State University,Q4702002,2010,done,post_2010
Al Akhawayn University,Q2829294,1995,done,1990_2009
Al Fashir University,Q4703811,1990,done,1990_2009
Al Hayah University in Cairo,Q79403381,2019,done,post_2010
Al Hayat Medical University,Q139771675,2016,done,post_2010
Al Salam University,NA,NA,done,NA
Al Zawiya University,Q3066997,1983,done,1960_1989
Al-Ahram Center for Political and Strategic Studies,Q4702168,1968,done,1960_1989
Al-Arab Medical University,Q3648084,1984,done,1960_1989
Al-Azhar University,Q173959,970,done,pre_1960
Al-Hikmah University,Q4702511,2005,done,1990_2009
Al-Neelain University,Q4121165,1955,done,pre_1960
Al-Qalam University Katsina,NA,NA,done,NA
AlAlamein International University,Q4705896,2020,done,post_2010
AlJafara University,Q138859843,2015,done,post_2010
AlMughtaribeen University,Q15648560,2010,done,post_2010
Alan J Flisher Centre for Public Mental Health,Q139771681,2010,done,post_2010
Alasmarya Islamic University,Q4703503,1506,done,pre_1960
Alexandria Higher Institute of Engineering and Technology,Q4720977,1996,done,1990_2009
Alexandria National University,Q111307163,2021,done,post_2010
